tool,specie,mrd,depth,batch,precision,recall,f1score
NanoMGT,salmonella,0.02,120,8,0.34101237842617155,0.9777777777777779,0.5028267623110435
NanoMGT,salmonella,0.02,120,9,0.33516289825938245,0.9851851851851853,0.49801193233702185
NanoMGT,salmonella,0.02,120,10,0.3268398268398269,0.9851851851851853,0.48835575728102887
NanoMGT,staph,0.02,220,1,0.27233115468409586,0.225,0.24606696248487292
NanoMGT,staph,0.02,220,2,0.3001949317738791,0.275,0.2862610026789132
NanoMGT,staph,0.02,220,3,0.4222222222222223,0.4375,0.42689075630252105
NanoMGT,staph,0.02,220,4,0.5100840336134453,0.5875,0.5422710622710623
NanoMGT,staph,0.02,220,5,0.5568783068783069,0.6875,0.6131292163985469
NanoMGT,staph,0.02,220,6,0.575925925925926,0.7250000000000001,0.6406758448060075
NanoMGT,staph,0.02,220,7,0.5910806174957118,0.8,0.6797962648556877
NanoMGT,staph,0.02,220,8,0.6153198653198653,0.8375,0.7094064949608063
NanoMGT,staph,0.02,220,9,0.6335470085470085,0.8375,0.7213228492136912
NanoMGT,staph,0.02,220,10,0.6131493506493506,0.8500000000000001,0.7123903508771929
NanoMGT,campylobacter,0.02,170,1,0.2652571926765475,0.11979166666666666,0.16466165413533834
NanoMGT,campylobacter,0.02,170,2,0.4931790774796503,0.2994791666666667,0.3722005842259007
NanoMGT,campylobacter,0.02,170,3,0.581495589414595,0.45052083333333337,0.5032467532467533
NanoMGT,campylobacter,0.02,170,4,0.654936974789916,0.5625,0.6012819281736124
NanoMGT,campylobacter,0.02,170,5,0.7058741609336268,0.7135416666666667,0.7051025632274139
NanoMGT,campylobacter,0.02,170,6,0.7195675701110483,0.78125,0.7467494089834514
NanoMGT,campylobacter,0.02,170,7,0.7414788116171507,0.8489583333333333,0.7908424475317766
NanoMGT,campylobacter,0.02,170,8,0.7456596272385747,0.9114583333333334,0.8196879161026929
NanoMGT,campylobacter,0.02,170,9,0.7602051282051282,0.9583333333333333,0.847619654579058
NanoMGT,campylobacter,0.02,170,10,0.7683766713700195,0.9765625,0.8600361930012836
NanoMGT,klebsiella,0.02,120,1,0.08391608391608392,0.1,0.0872420262664165
NanoMGT,klebsiella,0.02,120,2,0.18888888888888888,0.23333333333333334,0.20476190476190476
NanoMGT,klebsiella,0.02,120,3,0.38629032258064516,0.6333333333333333,0.4745341614906832
NanoMGT,klebsiella,0.02,120,4,0.4327445652173913,0.7666666666666666,0.5498320268756999
NanoMGT,klebsiella,0.02,120,5,0.427536231884058,0.7666666666666666,0.5449561403508771
NanoMGT,klebsiella,0.02,120,6,0.46181818181818185,0.8666666666666667,0.6000000000000001
NanoMGT,klebsiella,0.02,120,7,0.5245098039215685,0.9,0.6541950113378685
NanoMGT,klebsiella,0.02,120,8,0.49006211180124226,0.9,0.628421052631579
NanoMGT,klebsiella,0.02,120,9,0.49006211180124226,0.9,0.628421052631579
NanoMGT,klebsiella,0.02,120,10,0.4916666666666667,0.9333333333333333,0.6389743589743591
NanoMGT,campylobacter,0.02,120,1,0.16389751552795032,0.09635416666666666,0.12135693468198182
NanoMGT,campylobacter,0.02,120,2,0.3738342898134863,0.2994791666666667,0.33190600164428613
NanoMGT,campylobacter,0.02,120,3,0.5017647058823529,0.4895833333333333,0.4948133949712481
NanoMGT,campylobacter,0.02,120,4,0.5620873822416734,0.6015625,0.5799322033898305
NanoMGT,campylobacter,0.02,120,5,0.6041152616559744,0.6822916666666667,0.6406634017366223
NanoMGT,campylobacter,0.02,120,6,0.6404255319148936,0.7838541666666667,0.7049180327868854
NanoMGT,campylobacter,0.02,120,7,0.6644778841769265,0.8880208333333333,0.7601491424310216
NanoMGT,campylobacter,0.02,120,8,0.6698520428939867,0.9479166666666667,0.7848782531775222
NanoMGT,campylobacter,0.02,120,9,0.6805085751587443,0.9192708333333334,0.7815176279224725
NanoMGT,campylobacter,0.02,120,10,0.6750468755979031,0.984375,0.8008779844063506
NanoMGT,ecoli,0.02,170,1,0.06795142841654468,0.08943089430894309,0.07615338970479157
NanoMGT,ecoli,0.02,170,2,0.1610658277324944,0.24390243902439024,0.18858789508601873
NanoMGT,ecoli,0.02,170,3,0.29658025507331526,0.47154471544715454,0.35595136242254544
NanoMGT,ecoli,0.02,170,4,0.3886899687411196,0.6504065040650406,0.47903011942253393
