tool,specie,sequencing_id,mrd,depth,batch,precision,recall,f1score
Confindr,Escherichia coli,SRR26036455,0.04,220,10,0.7551020408163265,0.902439024390244,0.8222222222222222
Confindr,Escherichia coli,SRR26036455,0.04,220,1,0.0,0.0,0.0
Confindr,Escherichia coli,SRR26036455,0.04,220,2,0.0,0.0,0.0
Confindr,Escherichia coli,SRR26036455,0.04,220,3,0.3,0.1463414634146341,0.1967213114754098
Confindr,Escherichia coli,SRR26036455,0.04,220,4,0.4615384615384615,0.2926829268292683,0.3582089552238806
Confindr,Escherichia coli,SRR26036455,0.04,220,5,0.6,0.5121951219512195,0.5526315789473684
Confindr,Escherichia coli,SRR26036455,0.04,220,6,0.65,0.6341463414634146,0.6419753086419754
Confindr,Escherichia coli,SRR26036455,0.04,220,7,0.6585365853658537,0.6585365853658537,0.6585365853658537
Confindr,Escherichia coli,SRR26036455,0.04,220,8,0.6888888888888889,0.7560975609756098,0.7209302325581395
Confindr,Escherichia coli,SRR26036455,0.04,220,9,0.7291666666666666,0.8536585365853658,0.7865168539325843
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,10,0.7446808510638298,0.875,0.8045977011494252
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,1,0.0,0.0,0.0
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,2,0.0,0.0,0.0
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,3,0.0714285714285714,0.025,0.037037037037037
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,4,0.1875,0.075,0.1071428571428571
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,5,0.35,0.175,0.2333333333333333
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,6,0.5,0.325,0.393939393939394
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,7,0.59375,0.475,0.5277777777777778
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,8,0.6904761904761905,0.725,0.7073170731707318
Confindr,Staphylococcus aureus,ERR8958843,0.05,220,9,0.723404255319149,0.85,0.7816091954022989
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,10,0.9473684210526316,0.9,0.9230769230769232
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,1,1.0,0.05,0.0952380952380952
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,2,1.0,0.05,0.0952380952380952
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,3,1.0,0.325,0.4905660377358491
