tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,campylobacter,0.04,220,9,0.7876873081783715,0.8072916666666667,0.7971841226823544
Confindr,campylobacter,0.04,220,10,0.794762768991444,0.8125,0.8033136722115448
Confindr,campylobacter,0.05,120,1,0.0393939393939394,0.0078125,0.012979080775690944
Confindr,campylobacter,0.05,120,2,0.12983091787439613,0.026041666666666668,0.04330679640277163
Confindr,campylobacter,0.05,120,3,0.37681159420289856,0.11197916666666667,0.17141569271386717
Confindr,campylobacter,0.05,120,4,0.49294354838709675,0.1796875,0.2625347383047707
Confindr,campylobacter,0.05,120,5,0.6071216968835169,0.2890625,0.39140032989793005
Confindr,campylobacter,0.05,120,6,0.6835254449933349,0.40104166666666663,0.5053489447257792
Confindr,campylobacter,0.05,120,7,0.7455535390199637,0.5416666666666666,0.6271810089020771
Confindr,campylobacter,0.05,120,8,0.7733293196869355,0.6145833333333333,0.6848615581657931
Confindr,campylobacter,0.05,120,9,0.7870886075949367,0.6848958333333333,0.7319735305566368
Confindr,campylobacter,0.05,120,10,0.8022904062229905,0.7526041666666667,0.7766295707472178
Confindr,campylobacter,0.05,170,1,0.04047619047619047,0.0078125,0.013051513051513051
Confindr,campylobacter,0.05,170,2,0.1122168840082361,0.0234375,0.03855751730866653
Confindr,campylobacter,0.05,170,3,0.2241902834008097,0.05208333333333333,0.08421240199572344
Confindr,campylobacter,0.05,170,4,0.38842422214787553,0.109375,0.1703376904531514
Confindr,campylobacter,0.05,170,5,0.5863453815261044,0.25,0.35052947052947053
Confindr,campylobacter,0.05,170,6,0.6900547829751369,0.3932291666666667,0.5008224319699729
Confindr,campylobacter,0.05,170,7,0.7476547842401501,0.5494791666666666,0.6313081554460864
Confindr,campylobacter,0.05,170,8,0.7906222646614148,0.6614583333333333,0.7181652954254094
Confindr,campylobacter,0.05,170,9,0.8170006464124111,0.75,0.7818418175909239
Confindr,campylobacter,0.05,170,10,0.8283459103131234,0.8020833333333333,0.8149501312335957
Confindr,campylobacter,0.05,220,1,0.04415954415954416,0.0078125,0.013224218703670758
Confindr,campylobacter,0.05,220,2,0.09400656814449918,0.018229166666666668,0.030417295123177476
