batch,mrd,dp,average_f1
5,0.03,0.42,0.47302875684558165
5,0.03,0.44,0.45970933178605244
5,0.03,0.46,0.452183316978652
5,0.03,0.48,0.4454136591941987
5,0.03,0.5,0.4282582355007758
5,0.03,0.52,0.42673081759046755
5,0.03,0.54,0.4160081806265744
5,0.03,0.56,0.4137937160037624
5,0.03,0.58,0.40506924309642667
5,0.04,0.01,0.6727718438689971
5,0.04,0.02,0.6873493055289303
5,0.04,0.06,0.6796955665787066
5,0.04,0.08,0.6779829247328311
5,0.04,0.1,0.6407003666051784
5,0.04,0.12,0.6321706972680782
5,0.04,0.14,0.6060551348533296
5,0.04,0.16,0.5942966433299945
5,0.04,0.18,0.5715272563203966
5,0.04,0.2,0.5427441214663414
5,0.04,0.22,0.5314848610384325
5,0.04,0.24,0.5201833171427814
5,0.04,0.26,0.5079072066788263
5,0.04,0.28,0.49215280134160017
5,0.04,0.3,0.4777982162156236
5,0.04,0.32,0.45183442671128177
5,0.04,0.34,0.43711900137044335
5,0.04,0.36,0.42773267681853966
5,0.04,0.38,0.4205183804971317
5,0.04,0.4,0.4074962913773117
5,0.04,0.42,0.3962098602302745
5,0.04,0.44,0.38612025951100687
5,0.04,0.46,0.370138538974584
5,0.04,0.48,0.35745199135256883
5,0.04,0.5,0.3500408662493603
5,0.04,0.52,0.3414725534280486
5,0.04,0.54,0.3377335755203515
5,0.04,0.56,0.3338242385462654
5,0.04,0.58,0.3312446020405004
5,0.05,0.01,0.6458909548918899
5,0.05,0.02,0.677808428779195
5,0.05,0.06,0.6886810592735967
5,0.05,0.08,0.6606644168745284
5,0.05,0.1,0.6422967961787268
5,0.05,0.12,0.6434697056544224
5,0.05,0.14,0.6212348910154786
5,0.05,0.16,0.6028479173087639
5,0.05,0.18,0.5526980093685802
5,0.05,0.2,0.5429934236147883
5,0.05,0.22,0.5238814249875573
5,0.05,0.24,0.4912803234799575
5,0.05,0.26,0.47356714164226077
5,0.05,0.28,0.4450153517181285
5,0.05,0.3,0.4268117915069741
5,0.05,0.32,0.41216633772897693
5,0.05,0.34,0.39719484050147663
5,0.05,0.36,0.3858626777693054
5,0.05,0.38,0.36865017029405145
5,0.05,0.4,0.35818231870477096
5,0.05,0.42,0.34929915442735254
5,0.05,0.44,0.3368860145041242
5,0.05,0.46,0.3254686832474397
5,0.05,0.48,0.31657081060640996
5,0.05,0.5,0.2994915794917379
5,0.05,0.52,0.2842811015432126
5,0.05,0.54,0.27409898211465455
5,0.05,0.56,0.2736391313528193
5,0.05,0.58,0.26780151275954106
6,0.01,0.1,0.3707328783836686
6,0.01,0.12,0.3861310425876903
6,0.01,0.14,0.40165984879597827
6,0.01,0.16,0.4207570187557084
6,0.01,0.18,0.43561504806127344
6,0.01,0.2,0.45182289527410135
6,0.01,0.22,0.4701650107157541
6,0.01,0.24,0.4809902439960892
6,0.01,0.26,0.48831088280538554
6,0.01,0.28,0.49975905172480817
6,0.01,0.3,0.5046600645723418
6,0.01,0.32,0.5105230191688517
6,0.01,0.34,0.5194069370029503
6,0.01,0.36,0.5289333183683234
6,0.01,0.38,0.5346529094913638
6,0.01,0.4,0.5437162016293953
6,0.01,0.42,0.546626258810283
6,0.01,0.44,0.5488978573648738
6,0.01,0.46,0.5547213695684624
6,0.01,0.48,0.5553034269325283
6,0.01,0.5,0.5545279635747699
6,0.01,0.52,0.5583404912149628
6,0.01,0.54,0.561268486898277
6,0.01,0.56,0.5630062098290403
6,0.01,0.58,0.5602139809838385
6,0.02,0.1,0.6470622454577791
6,0.02,0.12,0.6473230937978657
6,0.02,0.14,0.6652866929097438
6,0.02,0.16,0.6706612851331712
6,0.02,0.18,0.6630694664695654
6,0.02,0.2,0.6652252499388144
6,0.02,0.22,0.6759849243765154
6,0.02,0.24,0.6752683222394438
6,0.02,0.26,0.6646856262040022
6,0.02,0.28,0.660506725771637
6,0.02,0.3,0.6645039723714673
6,0.02,0.32,0.6632961243600167
6,0.02,0.34,0.6590357371730012
6,0.02,0.36,0.6465045821902083
6,0.02,0.38,0.6480339840460037
6,0.02,0.4,0.6479665037775603
6,0.02,0.42,0.6311471954833693
6,0.02,0.44,0.6295364924157084
6,0.02,0.46,0.6108201132211596
6,0.02,0.48,0.6022784423371981
6,0.02,0.5,0.5994823120288959
6,0.02,0.52,0.5966987970708083
6,0.02,0.54,0.58856877514316
6,0.02,0.56,0.5860697425062787
6,0.02,0.58,0.5802436383557863
