batch,mrd,ii,average_f1
3,0.05,0.5,0.4736309557157181
3,0.05,0.52,0.4736096216133463
3,0.05,0.54,0.4741302277677552
3,0.05,0.56,0.48403236700649827
3,0.05,0.58,0.48590742374813795
4,0.01,0.01,0.4591735730764527
4,0.01,0.02,0.459917384801702
4,0.01,0.04,0.46123920891514303
4,0.01,0.06,0.46313700538928076
4,0.01,0.08,0.4613581327165711
4,0.01,0.1,0.46256849695805685
4,0.01,0.12,0.4582595634059224
4,0.01,0.14,0.45767008191005687
4,0.01,0.16,0.4578529862744244
4,0.01,0.18,0.46201607677644113
4,0.01,0.2,0.46029076188570744
4,0.01,0.22,0.45924621526239184
4,0.01,0.24,0.45991933858382456
4,0.01,0.26,0.4615830641650174
4,0.01,0.28,0.4604519395869066
4,0.01,0.3,0.45963865012795146
4,0.01,0.32,0.46081056142353355
4,0.01,0.34,0.46199062213740405
4,0.01,0.36,0.46532179562052084
4,0.01,0.38,0.46584333123386645
4,0.01,0.4,0.46710343194211656
4,0.01,0.42,0.4692326466017391
4,0.01,0.44,0.46497647298870953
4,0.01,0.46,0.4660916316771786
4,0.01,0.48,0.46480306206284777
4,0.01,0.5,0.4667686747807037
4,0.01,0.52,0.4679927833628802
4,0.01,0.54,0.4678013772116154
4,0.01,0.56,0.47096187858901783
4,0.01,0.58,0.4718374150736699
4,0.02,0.01,0.5398761148898406
4,0.02,0.02,0.5398761148898406
4,0.02,0.04,0.5375847205049487
4,0.02,0.06,0.5395733515586387
4,0.02,0.08,0.538140799683478
4,0.02,0.1,0.5383297534903809
4,0.02,0.12,0.5399261325821938
4,0.02,0.14,0.5402144084045006
4,0.02,0.16,0.5401972017060386
4,0.02,0.18,0.53897087852475
4,0.02,0.2,0.5409780166368784
4,0.02,0.22,0.5376686988859689
4,0.02,0.24,0.5349963025455644
4,0.02,0.26,0.5323207642455772
4,0.02,0.28,0.5344983462201908
4,0.02,0.3,0.5335439100792808
4,0.02,0.32,0.5322531925271651
4,0.02,0.34,0.5299967886049052
4,0.02,0.36,0.531044255662507
4,0.02,0.38,0.530770538126087
4,0.02,0.4,0.5321331353790952
4,0.02,0.42,0.5321331353790952
4,0.02,0.44,0.533259415468213
4,0.02,0.46,0.5327484847151552
4,0.02,0.48,0.5289963383174604
4,0.02,0.5,0.5280076062686857
4,0.02,0.52,0.5262022544371813
4,0.02,0.54,0.5283517149190999
4,0.02,0.56,0.5283146962200063
4,0.02,0.58,0.5313762261912502
4,0.03,0.01,0.5629446165379836
4,0.03,0.02,0.5635409381750434
4,0.03,0.04,0.5630367896886191
4,0.03,0.06,0.5591714878175018
4,0.03,0.08,0.5603295463488323
4,0.03,0.1,0.5605616187554231
4,0.03,0.12,0.5605616187554231
4,0.03,0.14,0.5597616524382154
4,0.03,0.16,0.5591956456163437
4,0.03,0.18,0.5567138680060029
4,0.03,0.2,0.5590868588990655
4,0.03,0.22,0.5590868588990655
4,0.03,0.24,0.5585821356442825
4,0.03,0.26,0.5569608997373323
4,0.03,0.28,0.5575955853035247
4,0.03,0.3,0.556004348763613
4,0.03,0.32,0.5555702487021839
4,0.03,0.34,0.5560749719569668
4,0.03,0.36,0.5584752246151413
4,0.03,0.38,0.5594018655417823
4,0.03,0.4,0.5634158042464742
4,0.03,0.42,0.5650021128393514
4,0.03,0.44,0.5660298620685394
4,0.03,0.46,0.5660298620685394
4,0.03,0.48,0.5700803900916703
4,0.03,0.5,0.5710588636728836
4,0.03,0.52,0.5710752223859247
4,0.03,0.54,0.5710752223859247
4,0.03,0.56,0.5726029698017738
4,0.03,0.58,0.5731509714832669
4,0.04,0.01,0.5698712356581553
4,0.04,0.02,0.5733554698653259
4,0.04,0.04,0.57262907761351
4,0.04,0.06,0.5746673221529569
4,0.04,0.08,0.5731833692884232
4,0.04,0.1,0.5731833692884232
4,0.04,0.12,0.582336268396755
4,0.04,0.14,0.5852349271874269
4,0.04,0.16,0.5796896410996863
4,0.04,0.18,0.5808305619249606
4,0.04,0.2,0.5808305619249606
4,0.04,0.22,0.5801961388767445
4,0.04,0.24,0.5809004313769198
4,0.04,0.26,0.5813890784439442
4,0.04,0.28,0.5776679594962827
4,0.04,0.3,0.5770672919802851
4,0.04,0.32,0.5760049928802797
4,0.04,0.34,0.5792075189776008
4,0.04,0.36,0.5872424255796569
4,0.04,0.38,0.5849823060528834
4,0.04,0.4,0.5849823060528834
4,0.04,0.42,0.5824598494244692
4,0.04,0.44,0.5820763163715014
4,0.04,0.46,0.5849284449379156
4,0.04,0.48,0.587440218878261
4,0.04,0.5,0.5889695333447028
4,0.04,0.52,0.5872786383445854
4,0.04,0.54,0.5866975702206292
4,0.04,0.56,0.5839503174733764
4,0.04,0.58,0.590384239373697
4,0.05,0.01,0.5515280753240018
4,0.05,0.02,0.5551292754497351
4,0.05,0.04,0.5551426936773829
4,0.05,0.06,0.5563989207684189
4,0.05,0.08,0.5594748864191802
4,0.05,0.1,0.5625002434059531
4,0.05,0.12,0.5752714707374021
