group,tool,mrd,depth,batch,precision,recall,f1score
group 1,NanoMGT,0.02,120,8,0.3689267947120045,0.9441734417344174,0.5252005401873173
group 1,NanoMGT,0.02,120,9,0.3569753885236306,0.9519421860885275,0.5152609882810981
group 1,NanoMGT,0.02,120,10,0.36239989300864817,0.9600722673893406,0.521162628095852
group 1,NanoMGT,0.02,170,1,0.09252107767473855,0.14101174345076775,0.11088211372123724
group 1,NanoMGT,0.02,170,2,0.1955172180202737,0.34417344173441733,0.24576162859353176
group 1,NanoMGT,0.02,170,3,0.3081231696643998,0.5691056910569106,0.393667100033807
group 1,NanoMGT,0.02,170,4,0.3695262448657495,0.7029810298102981,0.4777486460507396
group 1,NanoMGT,0.02,170,5,0.39837822965988945,0.7887985546522132,0.5240190220673968
group 1,NanoMGT,0.02,170,6,0.4185273721355479,0.839476061427281,0.553367515158901
group 1,NanoMGT,0.02,170,7,0.4287331764310297,0.8827461607949414,0.5735320965661088
group 1,NanoMGT,0.02,170,8,0.44106706537534174,0.9374887082204155,0.5960254327921233
group 1,NanoMGT,0.02,170,9,0.4485626183675653,0.9530261969286358,0.6063866582995724
group 1,NanoMGT,0.02,170,10,0.4340704410446366,0.9800361336946704,0.5992938517917714
group 1,NanoMGT,0.02,220,1,0.09468951941778025,0.14697380307136398,0.1141322654166628
group 1,NanoMGT,0.02,220,2,0.18375442329501196,0.28500451671183374,0.22057021618677097
group 1,NanoMGT,0.02,220,3,0.3464779093455564,0.49584462511291777,0.39097466156460225
group 1,NanoMGT,0.02,220,4,0.4082392168140246,0.6056910569105691,0.47124100606915365
group 1,NanoMGT,0.02,220,5,0.4546884164689478,0.7077687443541103,0.541560764447995
group 1,NanoMGT,0.02,220,6,0.4875179409575395,0.784372177055104,0.5907373169998005
group 1,NanoMGT,0.02,220,7,0.5313604280993574,0.8269196025293586,0.6359557843211391
group 1,NanoMGT,0.02,220,8,0.5314490988624038,0.858717253839205,0.6491874906885171
group 1,NanoMGT,0.02,220,9,0.5511395451771914,0.9019873532068654,0.6779559345248045
group 1,NanoMGT,0.02,220,10,0.5711649040356503,0.9533875338753388,0.709654095498542
group 1,NanoMGT,0.03,120,1,0.06990391984545599,0.09177958446251125,0.0771628863419866
group 1,NanoMGT,0.03,120,2,0.19279905687297894,0.34751580849141817,0.24227984390856455
group 1,NanoMGT,0.03,120,3,0.2684219365681826,0.5210478771454381,0.3456900896099055
group 1,NanoMGT,0.03,120,4,0.3421501252572457,0.7029810298102981,0.4510416190514551
group 1,NanoMGT,0.03,120,5,0.36607895601752666,0.7822041553748871,0.4881405881859844
group 1,NanoMGT,0.03,120,6,0.39845228714382963,0.865040650406504,0.5375075992170146
group 1,NanoMGT,0.03,120,7,0.41304133611124016,0.9083107497741643,0.5596080585713018
group 1,NanoMGT,0.03,120,8,0.42212685801947836,0.9360433604336044,0.5747474971985285
group 1,NanoMGT,0.03,120,9,0.4143836332950259,0.947877145438121,0.5709530362370137
group 1,NanoMGT,0.03,120,10,0.4186824665666351,0.9552845528455284,0.5756919791106558
group 1,NanoMGT,0.03,170,1,0.0977459966660527,0.10623306233062325,0.1007339959688705
group 1,NanoMGT,0.03,170,2,0.20005803061114735,0.2853658536585365,0.23215980656452928
group 1,NanoMGT,0.03,170,3,0.344235208405821,0.5288166214995483,0.4049120553754153
group 1,NanoMGT,0.03,170,4,0.43178846637095414,0.6941282746160794,0.5196154288053552
group 1,NanoMGT,0.03,170,5,0.4679593554593554,0.7644083107497741,0.5679290936686999
group 1,NanoMGT,0.03,170,6,0.47751492147864727,0.8187895212285456,0.5947360946382577
group 1,NanoMGT,0.03,170,7,0.4976256076631498,0.8853658536585367,0.6297892419973693
group 1,NanoMGT,0.03,170,8,0.5080618963869039,0.9212285456187894,0.6482149594440583
group 1,NanoMGT,0.03,170,9,0.5170885449373532,0.9445347786811201,0.6628503257817386
group 1,NanoMGT,0.03,170,10,0.5145200506827134,0.975609756097561,0.6686284648846075
group 1,NanoMGT,0.03,220,1,0.1085744763710865,0.1169828364950316,0.11241680305510085
group 1,NanoMGT,0.03,220,2,0.20606692760238632,0.2853658536585365,0.2390658473543492
group 1,NanoMGT,0.03,220,3,0.35319004204054827,0.4644083107497742,0.3804008048138044
group 1,NanoMGT,0.03,220,4,0.4567161443530369,0.6252935862691962,0.5090927287665754
group 1,NanoMGT,0.03,220,5,0.500552650001876,0.7063233965672989,0.5675262594913956
group 1,NanoMGT,0.03,220,6,0.5437371059604178,0.7999096657633242,0.6318165890776184
group 1,NanoMGT,0.03,220,7,0.562611862566885,0.8339656729900633,0.6578989814600138
group 1,NanoMGT,0.03,220,8,0.5745263852429059,0.87353206865402,0.6821629685201014
group 1,NanoMGT,0.03,220,9,0.5932300828646804,0.9249322493224932,0.7143246114256669
group 1,NanoMGT,0.03,220,10,0.6057736683830371,0.9604336043360433,0.7361399492531877
group 1,NanoMGT,0.04,120,1,0.0549884848665336,0.0573622402890695,0.0522576750242016
group 1,NanoMGT,0.04,120,2,0.19844103585416953,0.3271906052393857,0.24038677855992086
group 1,NanoMGT,0.04,120,3,0.26786031660447546,0.4618789521228545,0.3252312259857034
group 1,NanoMGT,0.04,120,4,0.37258088143569995,0.6752484191508582,0.4651640244784996
