batch,mrd,pp,average_f1
3,0.03,0.22,0.3848183464787744
3,0.03,0.24,0.3836641874916872
3,0.03,0.26,0.37813999562939343
3,0.03,0.28,0.3788181570432894
3,0.03,0.3,0.37857789691660976
3,0.03,0.32,0.3777748097618276
3,0.03,0.34,0.3759077525820742
3,0.03,0.36,0.3747421878086325
3,0.03,0.38,0.3725902010182715
3,0.03,0.4,0.37153856524244905
3,0.03,0.42,0.3674807147400057
3,0.03,0.44,0.36764520442126036
3,0.03,0.46,0.36945814942635097
3,0.03,0.48,0.36653239991211484
3,0.03,0.5,0.3679244786894743
3,0.03,0.52,0.3614152793984727
3,0.03,0.54,0.3614152793984727
3,0.03,0.56,0.3634991488957374
3,0.03,0.58,0.3659476244171685
3,0.03,0.6,0.3648683635344475
3,0.03,0.62,0.3648937020092996
3,0.03,0.64,0.3648937020092996
3,0.03,0.66,0.3643509317096904
3,0.03,0.68,0.3643509317096904
3,0.04,0.1,0.4102488533482257
3,0.04,0.12,0.40880188546352336
3,0.04,0.14,0.4039381827907266
3,0.04,0.16,0.40049473856364093
3,0.04,0.18,0.3867521272909166
3,0.04,0.2,0.3788936234326116
3,0.04,0.22,0.3748441579933098
3,0.04,0.24,0.3706430290253463
3,0.04,0.26,0.36565617062527805
3,0.04,0.28,0.36476179701452266
3,0.04,0.3,0.36372846810191833
3,0.04,0.32,0.36478521457985946
3,0.04,0.34,0.3601578611694848
3,0.04,0.36,0.35527278899851555
3,0.04,0.38,0.3526703799682668
3,0.04,0.4,0.34822548046383417
3,0.04,0.42,0.35051103971954706
3,0.04,0.44,0.3495677260314222
3,0.04,0.46,0.3511562176884389
3,0.04,0.48,0.35169489469770415
3,0.04,0.5,0.34963817770196276
3,0.04,0.52,0.35317158080947963
3,0.04,0.54,0.3534152395897237
3,0.04,0.56,0.35348475903262633
3,0.04,0.58,0.3541556867236727
3,0.04,0.6,0.3531775780369177
3,0.04,0.62,0.3570347988743114
3,0.04,0.64,0.3577862908068245
3,0.04,0.66,0.35797874214307773
3,0.04,0.68,0.35991660560090616
3,0.05,0.1,0.38251804862450467
3,0.05,0.12,0.3724210690565534
3,0.05,0.14,0.35445273941919836
3,0.05,0.16,0.34742677956963675
3,0.05,0.18,0.34308821190264494
3,0.05,0.2,0.3396797360419651
3,0.05,0.22,0.3358266216420289
3,0.05,0.24,0.3323611886614263
3,0.05,0.26,0.3296955335282861
3,0.05,0.28,0.3252594277677402
3,0.05,0.3,0.3257310181095171
3,0.05,0.32,0.3284569196878662
3,0.05,0.34,0.3284569196878662
3,0.05,0.36,0.32971005251994645
3,0.05,0.38,0.33020851048191086
3,0.05,0.4,0.3278905233971313
3,0.05,0.42,0.32684619914112817
3,0.05,0.44,0.32704585971814726
3,0.05,0.46,0.3266420861214748
3,0.05,0.48,0.3277655142161168
3,0.05,0.5,0.3291827477762076
3,0.05,0.52,0.3267096877557392
3,0.05,0.54,0.3267096877557392
3,0.05,0.56,0.3255872387761474
3,0.05,0.58,0.32601004940983486
3,0.05,0.6,0.31986406652808846
3,0.05,0.62,0.3232859348128677
3,0.05,0.64,0.31989505171883004
3,0.05,0.66,0.3152787800562929
3,0.05,0.68,0.3157832880795978
4,0.01,0.2,0.44543015207423003
4,0.01,0.22,0.4471879752539247
4,0.01,0.24,0.4475758681917155
4,0.01,0.26,0.4498354821134489
4,0.01,0.28,0.45115414131707393
4,0.01,0.3,0.45271738458631106
4,0.01,0.32,0.4529747226536342
4,0.01,0.34,0.46074186030872893
4,0.01,0.36,0.46117838251323395
4,0.01,0.38,0.46091167322543175
4,0.01,0.4,0.4602292384124596
4,0.01,0.42,0.4610649360425748
4,0.01,0.44,0.4611994608154135
4,0.01,0.46,0.4613997133209588
4,0.01,0.48,0.4617760083769534
4,0.01,0.5,0.46382222484491864
4,0.01,0.52,0.46333642201392616
4,0.01,0.54,0.4626066821756995
4,0.01,0.56,0.46232890707883056
4,0.01,0.58,0.46349679818813144
4,0.01,0.6,0.461744861466692
4,0.01,0.62,0.46554559558256975
4,0.01,0.64,0.46777272351621935
4,0.01,0.66,0.468329690562168
4,0.01,0.68,0.47112656218640886
4,0.02,0.2,0.5396319302255855
4,0.02,0.22,0.542045363201327
4,0.02,0.24,0.5387004376968231
4,0.02,0.26,0.5338976941114312
4,0.02,0.28,0.5283262138524415
4,0.02,0.3,0.5333011704788743
4,0.02,0.32,0.5379363167221648
4,0.02,0.34,0.532688149184459
4,0.02,0.36,0.532688149184459
4,0.02,0.38,0.5333790755479181
4,0.02,0.4,0.5321838669135767
4,0.02,0.42,0.5343301450365011
4,0.02,0.44,0.5331705857554617
4,0.02,0.46,0.5338066060781583
4,0.02,0.48,0.5341998808588799
4,0.02,0.5,0.5282531154321127
4,0.02,0.52,0.52938046499812
4,0.02,0.54,0.5304081372552859
4,0.02,0.56,0.5320114225469147
4,0.02,0.58,0.5259341596232441
4,0.02,0.6,0.5259682874521561
4,0.02,0.62,0.5255507824033607
4,0.02,0.64,0.5267443057297913
4,0.02,0.66,0.5278788443054645
4,0.02,0.68,0.5238168824525805
4,0.03,0.2,0.5613601702342955
4,0.03,0.22,0.566724362893459
4,0.03,0.24,0.5684007000263038
4,0.03,0.26,0.5508644367362084
4,0.03,0.28,0.5506140111450234
4,0.03,0.3,0.5508001181669483
4,0.03,0.32,0.5518424986308914
4,0.03,0.34,0.5435897594910223
4,0.03,0.36,0.5401875132998637
4,0.03,0.38,0.5350758553629295
4,0.03,0.4,0.5368316532699645
4,0.03,0.42,0.535262630358997
4,0.03,0.44,0.5302458620856012
4,0.03,0.46,0.528261011257276
