tool,specie,sequencing_id,maf,depth,batch,precision,recall,f1score
Confindr,salmonella_enterica,SRR28399428,0.03,220,2,0.16666666666666666,0.26666666666666666,0.2051282051282051
Confindr,salmonella_enterica,SRR28399428,0.03,220,3,0.2823529411764706,0.5333333333333333,0.3692307692307692
Confindr,salmonella_enterica,SRR28399428,0.03,220,4,0.35106382978723405,0.7333333333333333,0.4748201438848921
Confindr,salmonella_enterica,SRR28399428,0.03,220,5,0.41304347826086957,0.8444444444444444,0.5547445255474454
Confindr,salmonella_enterica,SRR28399428,0.03,220,6,0.4020618556701031,0.8666666666666667,0.5492957746478874
Confindr,salmonella_enterica,SRR28399428,0.03,220,7,0.42105263157894735,0.8888888888888888,0.5714285714285714
Confindr,salmonella_enterica,SRR28399428,0.03,220,8,0.41237113402061853,0.8888888888888888,0.5633802816901409
Confindr,salmonella_enterica,SRR28399428,0.03,220,9,0.43157894736842106,0.9111111111111111,0.5857142857142857
Confindr,ecoli,ERR12533301,0.03,220,10,0.4578313253012048,0.926829268292683,0.6129032258064516
Confindr,ecoli,ERR12533301,0.03,220,1,0.11594202898550725,0.1951219512195122,0.14545454545454545
Confindr,ecoli,ERR12533301,0.03,220,2,0.367816091954023,0.7804878048780488,0.5
Confindr,ecoli,ERR12533301,0.03,220,3,0.4065934065934066,0.9024390243902439,0.5606060606060607
Confindr,ecoli,ERR12533301,0.03,220,4,0.40217391304347827,0.9024390243902439,0.556390977443609
Confindr,ecoli,ERR12533301,0.03,220,5,0.41304347826086957,0.926829268292683,0.5714285714285715
Confindr,ecoli,ERR12533301,0.03,220,6,0.4418604651162791,0.926829268292683,0.5984251968503937
Confindr,ecoli,ERR12533301,0.03,220,7,0.4418604651162791,0.926829268292683,0.5984251968503937
Confindr,ecoli,ERR12533301,0.03,220,8,0.4318181818181818,0.926829268292683,0.5891472868217055
Confindr,ecoli,ERR12533301,0.03,220,9,0.4470588235294118,0.926829268292683,0.6031746031746031
Confindr,ecoli,SRR25689478,0.03,220,10,0.5138888888888888,0.9024390243902439,0.6548672566371682
Confindr,ecoli,SRR25689478,0.03,220,1,0.0,0.0,0.0
Confindr,ecoli,SRR25689478,0.03,220,2,0.0,0.0,0.0
Confindr,ecoli,SRR25689478,0.03,220,3,0.28888888888888886,0.3170731707317073,0.3023255813953488
Confindr,ecoli,SRR25689478,0.03,220,4,0.42592592592592593,0.5609756097560976,0.4842105263157895
Confindr,ecoli,SRR25689478,0.03,220,5,0.45901639344262296,0.6829268292682927,0.5490196078431373
Confindr,ecoli,SRR25689478,0.03,220,6,0.4927536231884058,0.8292682926829268,0.6181818181818182
Confindr,ecoli,SRR25689478,0.03,220,7,0.5,0.8292682926829268,0.6238532110091743
Confindr,ecoli,SRR25689478,0.03,220,8,0.5070422535211268,0.8780487804878049,0.6428571428571428
Confindr,ecoli,SRR25689478,0.03,220,9,0.4931506849315068,0.8780487804878049,0.631578947368421
Confindr,ecoli,SRR26036455,0.03,220,10,0.5606060606060606,0.9024390243902439,0.6915887850467289
Confindr,ecoli,SRR26036455,0.03,220,1,0.0,0.0,0.0
Confindr,ecoli,SRR26036455,0.03,220,2,0.041666666666666664,0.024390243902439025,0.030769230769230767
Confindr,ecoli,SRR26036455,0.03,220,3,0.32432432432432434,0.2926829268292683,0.30769230769230765
Confindr,ecoli,SRR26036455,0.03,220,4,0.42857142857142855,0.43902439024390244,0.4337349397590361
Confindr,ecoli,SRR26036455,0.03,220,5,0.56,0.6829268292682927,0.6153846153846154
Confindr,ecoli,SRR26036455,0.03,220,6,0.5714285714285714,0.7804878048780488,0.6597938144329897
Confindr,ecoli,SRR26036455,0.03,220,7,0.5614035087719298,0.7804878048780488,0.653061224489796
Confindr,ecoli,SRR26036455,0.03,220,8,0.5901639344262295,0.8780487804878049,0.7058823529411764
Confindr,ecoli,SRR26036455,0.03,220,9,0.6166666666666667,0.9024390243902439,0.7326732673267328
Confindr,staph_aureus,ERR8958843,0.03,120,10,0.5294117647058824,0.9,0.6666666666666667
Confindr,staph_aureus,ERR8958843,0.04,120,1,0.05263157894736842,0.025,0.03389830508474576
Confindr,staph_aureus,ERR8958843,0.04,120,2,0.1,0.05,0.06666666666666667
Confindr,staph_aureus,ERR8958843,0.04,120,4,0.3076923076923077,0.2,0.24242424242424246
Confindr,staph_aureus,ERR8958843,0.04,120,6,0.6,0.675,0.6352941176470589
Confindr,staph_aureus,ERR8958843,0.04,120,8,0.6545454545454545,0.9,0.7578947368421052
Confindr,staph_aureus,SRR28370694,0.04,120,10,0.8536585365853658,0.875,0.8641975308641976
Confindr,staph_aureus,SRR28370694,0.04,120,2,1.0,0.3,0.4615384615384615
Confindr,staph_aureus,SRR28370694,0.04,120,5,0.875,0.7,0.7777777777777777
