batch,mrd,np,average_f1
2,0.03,1.3,0.22434022279716684
2,0.03,1.4,0.22445582099561334
2,0.03,1.5,0.2257488072283146
2,0.03,1.6,0.22594790647585675
2,0.03,1.7,0.2263842208390004
2,0.03,1.8,0.2268138044133208
2,0.03,1.9,0.22782505918947565
2,0.03,2.0,0.22815205324624244
2,0.03,2.1,0.2282753081231061
2,0.03,2.2,0.22926961375563062
2,0.03,2.3,0.2304930760510621
2,0.03,2.4,0.23112425635823652
2,0.03,2.5,0.23263266509305874
2,0.03,2.6,0.23276109820904373
2,0.03,2.7,0.2332288486503224
2,0.03,2.8,0.2332288486503224
2,0.03,2.9,0.23390074114752282
2,0.03,3.0,0.23424156370642257
2,0.03,3.1,0.2368394500013991
2,0.03,3.2,0.23697226433717417
2,0.03,3.3,0.23697226433717417
2,0.03,3.4,0.23697226433717417
2,0.03,3.5,0.23697226433717417
2,0.03,3.6,0.23697226433717417
2,0.03,3.7,0.23697226433717417
2,0.03,3.8,0.2370454118757595
2,0.03,3.9,0.23717935654630715
2,0.04,1.0,0.21035058250007602
2,0.04,1.1,0.21145625816239325
2,0.04,1.2,0.21194721413009068
2,0.04,1.3,0.21240419704321395
2,0.04,1.4,0.2138786441629881
2,0.04,1.5,0.21496858831113777
2,0.04,1.6,0.21669808936592908
2,0.04,1.7,0.21799001759768183
2,0.04,1.8,0.21818435054982357
2,0.04,1.9,0.219089157886415
2,0.04,2.0,0.21946009496621288
2,0.04,2.1,0.2201856458120524
2,0.04,2.2,0.22063544184201453
2,0.04,2.3,0.2234436437897068
2,0.04,2.4,0.2234436437897068
2,0.04,2.5,0.2234436437897068
2,0.04,2.6,0.2234436437897068
2,0.04,2.7,0.2234436437897068
2,0.04,2.8,0.2234436437897068
2,0.04,2.9,0.22357270727280756
2,0.04,3.0,0.22377426391022268
2,0.04,3.1,0.22457187945952792
2,0.04,3.2,0.22457187945952792
2,0.04,3.3,0.22457187945952792
2,0.04,3.4,0.22457187945952792
2,0.04,3.5,0.22457187945952792
2,0.04,3.6,0.22477492910907199
2,0.04,3.7,0.22477492910907199
2,0.04,3.8,0.22477492910907199
2,0.04,3.9,0.22477492910907199
2,0.05,1.0,0.20927024239298606
2,0.05,1.1,0.21120733971587027
2,0.05,1.2,0.21157827679566812
2,0.05,1.3,0.21311797390069012
2,0.05,1.4,0.2139583986189981
2,0.05,1.5,0.21442017171387068
2,0.05,1.6,0.21528271274537408
2,0.05,1.7,0.2162408512535922
2,0.05,1.8,0.21848731573057426
2,0.05,1.9,0.21848731573057426
2,0.05,2.0,0.21848731573057426
2,0.05,2.1,0.21848731573057426
2,0.05,2.2,0.2186209780216573
2,0.05,2.3,0.2186209780216573
2,0.05,2.4,0.21964723192411809
2,0.05,2.5,0.21964723192411809
2,0.05,2.6,0.21964723192411809
2,0.05,2.7,0.21964723192411809
2,0.05,2.8,0.2198596589023443
2,0.05,2.9,0.2198596589023443
2,0.05,3.0,0.2198596589023443
2,0.05,3.1,0.2198596589023443
2,0.05,3.2,0.22072539904002106
2,0.05,3.3,0.22072539904002106
2,0.05,3.4,0.22086024944035818
2,0.05,3.5,0.22191914713757635
2,0.05,3.6,0.22191914713757635
2,0.05,3.7,0.22191914713757635
2,0.05,3.8,0.22191914713757635
2,0.05,3.9,0.22191914713757635
3,0.01,1.0,0.3035024503612049
3,0.01,1.1,0.31422918049811027
3,0.01,1.2,0.3204789323848821
3,0.01,1.3,0.32413921009413815
3,0.01,1.4,0.33289938532438423
3,0.01,1.5,0.3355663682870976
3,0.01,1.6,0.3439403011519865
3,0.01,1.7,0.3462733399199452
3,0.01,1.8,0.3519045021143016
3,0.01,1.9,0.3554377730669148
3,0.01,2.0,0.35879729239569846
3,0.01,2.1,0.3629120058786248
3,0.01,2.2,0.3649331362572351
3,0.01,2.3,0.3678834557249743
3,0.01,2.4,0.3685416777665868
3,0.01,2.5,0.37079954714831415
3,0.01,2.6,0.3735868945952979
3,0.01,2.7,0.3756928643512661
3,0.01,2.8,0.3780176389180517
3,0.01,2.9,0.3791846420128185
3,0.01,3.0,0.3815599230177164
3,0.01,3.1,0.3839869744222672
3,0.01,3.2,0.38512328675105756
3,0.01,3.3,0.38632077780426904
3,0.01,3.4,0.38729192999566925
3,0.01,3.5,0.3892039559820411
3,0.01,3.6,0.3904132265508547
3,0.01,3.7,0.39218820919053404
3,0.01,3.8,0.3935651329921794
3,0.01,3.9,0.394139634430946
3,0.02,1.0,0.37951848011059386
3,0.02,1.1,0.3836572678955873
3,0.02,1.2,0.3890040116769125
3,0.02,1.3,0.3920960088375048
3,0.02,1.4,0.3954388139371464
3,0.02,1.5,0.39732957919895234
3,0.02,1.6,0.40012000428326366
3,0.02,1.7,0.4008810409993565
3,0.02,1.8,0.40233709369613047
3,0.02,1.9,0.40422982816705316
3,0.02,2.0,0.40468807080653074
3,0.02,2.1,0.4057546771780668
3,0.02,2.2,0.4063799950140393
3,0.02,2.3,0.4071014925039885
3,0.02,2.4,0.4100836992917963
3,0.02,2.5,0.41182415608445444
3,0.02,2.6,0.4120033675539885
3,0.02,2.7,0.4120033675539885
3,0.02,2.8,0.4126756312849186
3,0.02,2.9,0.41293685014196285
3,0.02,3.0,0.4134406073309978
3,0.02,3.1,0.4138055327819413
3,0.02,3.2,0.41486793793807486
3,0.02,3.3,0.41694746932426396
3,0.02,3.4,0.4176508257335132
3,0.02,3.5,0.41849742295733494
3,0.02,3.6,0.4187648889941948
3,0.02,3.7,0.41914615261075255
3,0.02,3.8,0.4193389104243282
3,0.02,3.9,0.4202021346708051
3,0.03,1.0,0.3599752959458084
3,0.03,1.1,0.36242390996619367
3,0.03,1.2,0.36474307784726256
3,0.03,1.3,0.3664157109184821
3,0.03,1.4,0.36689847231366246
3,0.03,1.5,0.36900008991872435
3,0.03,1.6,0.3711776932174507
3,0.03,1.7,0.37151067899687673
3,0.03,1.8,0.3720761405251459
3,0.03,1.9,0.37325482212477235
3,0.03,2.0,0.3744534386832556
3,0.03,2.1,0.3746244687546179
3,0.03,2.2,0.3766245225505756
