tool,maf,batch,depth,precision,recall,f1score
NanoMGT,0.04,3,220,0.5007020574954223,0.4164168360433604,0.4137963182372201
NanoMGT,0.04,4,120,0.45808888602855724,0.6363493676603433,0.517279637724951
NanoMGT,0.04,4,170,0.5469035845450213,0.6510371499548329,0.5748211257528979
NanoMGT,0.04,4,220,0.5945067905336332,0.6358753952122855,0.589605641561586
NanoMGT,0.04,5,120,0.5003912886790075,0.7420785343270099,0.5824999106400354
NanoMGT,0.04,5,170,0.5910849687387094,0.7790958107497742,0.6570281664975752
NanoMGT,0.04,5,220,0.6363581888152758,0.769130815266486,0.6800584774198141
NanoMGT,0.04,6,120,0.539826347732012,0.8407734869015357,0.641305824994713
NanoMGT,0.04,6,170,0.6158887609842874,0.8707619128274617,0.7082340368060638
NanoMGT,0.04,6,220,0.6435358938972497,0.8142804313459802,0.7038911408333005
NanoMGT,0.04,7,120,0.5560322061215323,0.8997250451671184,0.6726454839742063
NanoMGT,0.04,7,170,0.6253112552239749,0.9133240176151762,0.7290365322146639
NanoMGT,0.04,7,220,0.6657365721315361,0.8966466237579043,0.7509486806194078
NanoMGT,0.04,8,120,0.5671604918497954,0.9467324412827463,0.6957852376631429
NanoMGT,0.04,8,170,0.6287479771117944,0.9478141937669378,0.7434559827979528
NanoMGT,0.04,8,220,0.6686088130188356,0.946084293134598,0.7719246570806393
NanoMGT,0.04,9,120,0.5591258342381286,0.9642553071364046,0.6969645346770248
NanoMGT,0.04,9,170,0.6368942216613422,0.9554415085817525,0.7518046609876948
NanoMGT,0.04,9,220,0.6779967666595651,0.9549898373983738,0.7819981001732226
NanoMGT,0.04,10,120,0.5572565189961075,0.971737522583559,0.6977262224177055
NanoMGT,0.04,10,170,0.6408029486902281,0.9628427055103884,0.7556593925424357
NanoMGT,0.04,10,220,0.6819288990985569,0.9645147357723577,0.7881474748081813
NanoMGT,0.05,1,120,0.10555600679513719,0.04600073396567294,0.06082329645126687
NanoMGT,0.05,1,170,0.1777954677122087,0.08711749096657628,0.11231253477756262
NanoMGT,0.05,1,220,0.1824102031864978,0.08752822944896112,0.1123463565368518
NanoMGT,0.05,2,120,0.2714681414190848,0.22363792908762417,0.23272691097685652
NanoMGT,0.05,2,170,0.31305559949447936,0.2339958785004516,0.25129369499000465
NanoMGT,0.05,2,220,0.3182009809245735,0.21215503613369463,0.23599459837638004
NanoMGT,0.05,3,120,0.4108451782135992,0.4147592028003613,0.3976074253562749
NanoMGT,0.05,3,170,0.4709308919067178,0.39138239611562786,0.3971280061221236
NanoMGT,0.05,3,220,0.5431647317736028,0.3695884146341463,0.40604439501187056
NanoMGT,0.05,4,120,0.5153441991782446,0.5872244805781391,0.5310974154297564
NanoMGT,0.05,4,170,0.6203976126201958,0.6034284665763324,0.5925985102308098
NanoMGT,0.05,4,220,0.6429774316424324,0.5874678184281843,0.589447649283085
NanoMGT,0.05,5,120,0.5671307727456681,0.7061935411020777,0.6137029515368958
NanoMGT,0.05,5,170,0.6791191732764547,0.7276733288166215,0.6872179685940794
NanoMGT,0.05,5,220,0.6980567052764538,0.7025813008130081,0.6820117677463247
NanoMGT,0.05,6,120,0.5948634984016261,0.7848430442637759,0.6626936559034193
