tool,specie,maf,batch,precision,recall,f1score
Confindr,salmonella,0.02,5,0.3176530639528226,0.8962962962962963,0.46435605540589203
Confindr,salmonella,0.02,6,0.31819680537152645,0.911111111111111,0.46729278808899827
Confindr,salmonella,0.02,7,0.32125449703289966,0.9160493827160493,0.47163227869667423
Confindr,salmonella,0.02,8,0.32245640862172215,0.9160493827160493,0.47301645215022664
Confindr,salmonella,0.02,9,0.3167728576745886,0.9111111111111111,0.46662491592748684
Confindr,salmonella,0.02,10,0.3140122978513055,0.908641975308642,0.46387104702063575
Confindr,salmonella,0.03,1,0.08573439148448576,0.06913580246913577,0.0728703003731324
Confindr,salmonella,0.03,2,0.2978609050607575,0.38024691358024687,0.3295866863446964
Confindr,salmonella,0.03,3,0.40400038674744376,0.6271604938271605,0.48281871952884287
Confindr,salmonella,0.03,4,0.4501976868788808,0.762962962962963,0.5572164176028617
Confindr,salmonella,0.03,5,0.4752132558054558,0.8567901234567902,0.6027875911333834
Confindr,salmonella,0.03,6,0.4700409962373506,0.8938271604938272,0.6089846493817275
Confindr,salmonella,0.03,7,0.47664061895688414,0.9037037037037038,0.6168881868746544
Confindr,salmonella,0.03,8,0.46836177997356815,0.9111111111111111,0.6114067928274727
Confindr,salmonella,0.03,9,0.46398032926844707,0.9111111111111111,0.608971845353292
Confindr,salmonella,0.03,10,0.4609463099998976,0.908641975308642,0.6059592514114912
Confindr,salmonella,0.04,1,0.046520763187429835,0.012345679012345666,0.01883295031443177
Confindr,salmonella,0.04,2,0.3140185135636161,0.22469135802469134,0.25560733757348403
Confindr,salmonella,0.04,3,0.45287782741106963,0.4320987654320987,0.4356130904441921
Confindr,salmonella,0.04,4,0.5180118740961607,0.5876543209876544,0.5430966655071244
Confindr,salmonella,0.04,5,0.5737249019459602,0.7506172839506173,0.641479757528829
Confindr,salmonella,0.04,6,0.5988280019416313,0.8444444444444444,0.6936497202392684
Confindr,salmonella,0.04,7,0.6093718228031954,0.8765432098765432,0.711507570710907
Confindr,salmonella,0.04,8,0.6114207486953317,0.8962962962962964,0.7196516568516031
Confindr,salmonella,0.04,9,0.6004942594177628,0.9037037037037038,0.7149919113740162
Confindr,salmonella,0.04,10,0.5968738286922792,0.9061728395061729,0.7127086061157692
Confindr,salmonella,0.05,1,0.0,0.0,0.0
Confindr,salmonella,0.05,2,0.29168754492248455,0.13086419753086417,0.17483735317696644
Confindr,salmonella,0.05,3,0.41807776830155347,0.28148148148148144,0.3324956857925777
Confindr,salmonella,0.05,4,0.5127306797658078,0.43456790123456784,0.4669476167424463
Confindr,salmonella,0.05,5,0.5992907605236383,0.5975308641975309,0.5930910419947085
Confindr,salmonella,0.05,6,0.6379376964333549,0.7209876543209877,0.6728679410238833
Confindr,salmonella,0.05,7,0.6583604902390076,0.8123456790123457,0.7218219090737402
Confindr,salmonella,0.05,8,0.675710086954291,0.8691358024691357,0.7551362022306481
Confindr,salmonella,0.05,9,0.6678105930689625,0.8814814814814814,0.7550604565960333
Confindr,salmonella,0.05,10,0.6679368768878144,0.8987654320987654,0.761733933211696
Confindr,staph,0.01,1,0.1897360285148252,0.25,0.20232317796665397
Confindr,staph,0.01,2,0.2775374360576856,0.4583333333333333,0.33254062760446496
Confindr,staph,0.01,3,0.35075612771870585,0.6791666666666667,0.44439351360690943
Confindr,staph,0.01,4,0.38063785881895823,0.7624999999999998,0.49069524081448984
Confindr,staph,0.01,5,0.4110543250034002,0.8583333333333334,0.542334028380526
Confindr,staph,0.01,6,0.41647966091988514,0.8833333333333333,0.553779160211199
Confindr,staph,0.01,7,0.4182126497820462,0.8916666666666666,0.5572959231909079
Confindr,staph,0.01,8,0.417278230307303,0.9041666666666667,0.5608216316301592
Confindr,staph,0.01,9,0.4159892246204245,0.9041666666666667,0.560420701837999
Confindr,staph,0.01,10,0.4186909554581388,0.9041666666666667,0.5632869305526492
Confindr,staph,0.02,1,0.22029070508733897,0.21250000000000002,0.21011010048565568
Confindr,staph,0.02,2,0.31852813446391137,0.4083333333333334,0.3501543622219077
Confindr,staph,0.02,3,0.40719973897878337,0.6166666666666667,0.48033400542060933
Confindr,staph,0.02,4,0.45704061792699563,0.7416666666666667,0.5545594969729309
Confindr,staph,0.02,5,0.48889079117781803,0.8458333333333333,0.6111247363698588
Confindr,staph,0.02,6,0.4966984117387585,0.8791666666666668,0.6271757189676781
Confindr,staph,0.02,7,0.49874095221740006,0.8916666666666666,0.6329219326842185
Confindr,staph,0.02,8,0.49408878131991085,0.9041666666666667,0.6336860623329403
Confindr,staph,0.02,9,0.49348850486818807,0.9041666666666667,0.6337954236890656
Confindr,staph,0.02,10,0.49049206113491534,0.9041666666666667,0.6324835488835885
Confindr,staph,0.03,1,0.37780169780169776,0.125,0.18072220055195623
Confindr,staph,0.03,2,0.42333430458430454,0.20833333333333334,0.2674957062053836
Confindr,staph,0.03,3,0.54592387229687,0.41250000000000003,0.46347839746056735
Confindr,staph,0.03,4,0.6254129856376077,0.5916666666666667,0.6033316178283277
Confindr,staph,0.03,5,0.6919091710758377,0.7958333333333333,0.7311915680774533
Confindr,staph,0.03,6,0.6936695240690791,0.8458333333333333,0.7540274072117744
Confindr,staph,0.03,7,0.6965092986940254,0.8708333333333332,0.7664666518920608
Confindr,staph,0.03,8,0.6932802013084239,0.8916666666666666,0.7732918012549647
Confindr,staph,0.03,9,0.6826056426031349,0.8958333333333334,0.7691751433197515
Confindr,staph,0.03,10,0.6838640740941248,0.9041666666666667,0.7737229512763163
Confindr,staph,0.04,1,0.5087719298245613,0.041666666666666664,0.07443278629719306
Confindr,staph,0.04,2,0.525925925925926,0.12083333333333333,0.19204284130392502
Confindr,staph,0.04,3,0.5802068302068303,0.22916666666666666,0.32639845116441846
Confindr,staph,0.04,4,0.6170789087455754,0.375,0.4657922204714453
Confindr,staph,0.04,5,0.7458495562931778,0.6333333333333334,0.6816830560183124
Confindr,staph,0.04,6,0.7725115046018408,0.7583333333333333,0.7580515279193403
Confindr,staph,0.04,7,0.7777145481640488,0.8416666666666667,0.8018610469069304
Confindr,staph,0.04,8,0.7830773955773956,0.875,0.82123400417038
Confindr,staph,0.04,9,0.7764187594376274,0.8791666666666668,0.8198201380888145
Confindr,staph,0.04,10,0.7763576193454242,0.8875000000000001,0.823895732460317
Confindr,staph,0.05,1,0.5,0.020833333333333332,0.039876113046844734
Confindr,staph,0.05,2,0.5111111111111111,0.054166666666666634,0.09483482595803228
Confindr,staph,0.05,3,0.5349206349206349,0.1625,0.24859496431823477
Confindr,staph,0.05,4,0.5939950980392157,0.25416666666666665,0.35417187681352186
Confindr,staph,0.05,5,0.666221322537112,0.3958333333333333,0.495203666390107
Confindr,staph,0.05,6,0.7413919928783939,0.5333333333333333,0.6181606780222064
Confindr,staph,0.05,7,0.789644411595631,0.7041666666666666,0.7424482481359834
Confindr,staph,0.05,8,0.8192028249236487,0.8208333333333333,0.8182966754779155
Confindr,staph,0.05,9,0.8233339076004249,0.8666666666666667,0.8426954540513157
Confindr,staph,0.05,10,0.8268800068912051,0.8708333333333332,0.8465268716758367
NanoMGT,campylobacter,0.01,1,0.18969947896175385,0.14322916666666666,0.16265151592299124
NanoMGT,campylobacter,0.01,2,0.35130622653958676,0.3107638888888889,0.32891002510960005
NanoMGT,campylobacter,0.01,3,0.440282505745883,0.4348958333333333,0.4365916434352
NanoMGT,campylobacter,0.01,4,0.4997527090897105,0.564236111111111,0.5279703307819152
NanoMGT,campylobacter,0.01,5,0.5338344848937934,0.6041666666666666,0.5664913162115236
NanoMGT,campylobacter,0.01,6,0.5443151144549879,0.6397569444444444,0.5877202173055857
NanoMGT,campylobacter,0.01,7,0.5828201403772261,0.751736111111111,0.6555013925702707
NanoMGT,campylobacter,0.01,8,0.5848789076974644,0.7196180555555557,0.6443633504889789
NanoMGT,campylobacter,0.01,9,0.5798699415170564,0.685763888888889,0.6269265200646792
NanoMGT,campylobacter,0.01,10,0.5886376802593093,0.7395833333333334,0.6543265861061133
NanoMGT,campylobacter,0.02,1,0.24156778748293473,0.10243055555555551,0.14136566183880214
NanoMGT,campylobacter,0.02,2,0.4740504039682218,0.2803819444444445,0.3451372013073975
NanoMGT,campylobacter,0.02,3,0.5760748169656337,0.4244791666666667,0.47612079054122436
NanoMGT,campylobacter,0.02,4,0.6479897761895305,0.5572916666666666,0.5889692157067636
NanoMGT,campylobacter,0.02,5,0.6977136944637498,0.6788194444444445,0.6806652876733158
NanoMGT,campylobacter,0.02,6,0.7235940506484756,0.7621527777777778,0.7355350816646641
NanoMGT,campylobacter,0.02,7,0.7445992016283288,0.8515625,0.7895222040093705
NanoMGT,campylobacter,0.02,8,0.7514767559582296,0.9192708333333334,0.8234582805345233
NanoMGT,campylobacter,0.02,9,0.7595576472551963,0.9340277777777778,0.8357583114411309
NanoMGT,campylobacter,0.02,10,0.7612851957113856,0.9713541666666666,0.8511950950352069
NanoMGT,campylobacter,0.03,1,0.21811982608488809,0.06336805555555554,0.09645084460063251
NanoMGT,campylobacter,0.03,2,0.5146923669615301,0.2456597222222222,0.325723443006429
NanoMGT,campylobacter,0.03,3,0.6211200620284884,0.3958333333333333,0.47176363018914563
NanoMGT,campylobacter,0.03,4,0.7065173920050082,0.5581597222222222,0.6099743285999734
NanoMGT,campylobacter,0.03,5,0.7539233913080042,0.6961805555555555,0.7154191757079275
NanoMGT,campylobacter,0.03,6,0.7792015184870773,0.7847222222222222,0.7766464333474903
NanoMGT,campylobacter,0.03,7,0.7982318876919229,0.8828125,0.8352694465991369
NanoMGT,campylobacter,0.03,8,0.8065251561539583,0.9479166666666666,0.8696139896125458
NanoMGT,campylobacter,0.03,9,0.8089642668760075,0.9661458333333334,0.8787300999925155
NanoMGT,campylobacter,0.03,10,0.8099548754982795,0.986111111111111,0.8876240411933596
NanoMGT,campylobacter,0.04,1,0.19997152316753297,0.0616319444444444,0.0936132711371576
NanoMGT,campylobacter,0.04,2,0.5212135539328273,0.27690972222222227,0.3580173125147588
NanoMGT,campylobacter,0.04,3,0.6171562200646541,0.4322916666666667,0.5005258352542041
NanoMGT,campylobacter,0.04,4,0.6994757993484663,0.6171875,0.6476566694985247
NanoMGT,campylobacter,0.04,5,0.7465795156741865,0.7612847222222222,0.7509233910646094
NanoMGT,campylobacter,0.04,6,0.7650970470686164,0.8420138888888888,0.8002229978829796
NanoMGT,campylobacter,0.04,7,0.7890964491580066,0.9392361111111112,0.8569090020805051
NanoMGT,campylobacter,0.04,8,0.799837158639041,0.978298611111111,0.8795710593406326
NanoMGT,campylobacter,0.04,9,0.8020103984586617,0.987847222222222,0.8845425897710628
NanoMGT,campylobacter,0.04,10,0.8005904165090394,0.9947916666666666,0.8864811737301074
NanoMGT,campylobacter,0.05,1,0.2099420563744938,0.050347222222222175,0.0807449898298877
NanoMGT,campylobacter,0.05,2,0.5617486994797919,0.24652777777777776,0.33719049118244837
NanoMGT,campylobacter,0.05,3,0.668900868396182,0.3975694444444444,0.48706580337420546
NanoMGT,campylobacter,0.05,4,0.7479351895386513,0.5651041666666666,0.6307797770994079
NanoMGT,campylobacter,0.05,5,0.7943853580568216,0.7170138888888888,0.7481476646923237
NanoMGT,campylobacter,0.05,6,0.8192919464234358,0.8159722222222222,0.8145144319918978
NanoMGT,campylobacter,0.05,7,0.8360166798147303,0.9192708333333334,0.8746121738874657
NanoMGT,campylobacter,0.05,8,0.8484892612501707,0.9661458333333334,0.9029841999234102
NanoMGT,campylobacter,0.05,9,0.8485637457590545,0.986111111111111,0.9117726455302725
NanoMGT,campylobacter,0.05,10,0.8453115395049707,0.9869791666666666,0.9102749414260353
NanoMGT,ecoli,0.01,1,0.0463236448658389,0.10840108401084007,0.06412234831205303
NanoMGT,ecoli,0.01,2,0.12252570820713736,0.3089430894308944,0.1726075074630737
NanoMGT,ecoli,0.01,3,0.19992116432290585,0.5230352303523035,0.28525937159944875
NanoMGT,ecoli,0.01,4,0.26043829880109376,0.6910569105691057,0.3737093785928871
NanoMGT,ecoli,0.01,5,0.2906901081233195,0.7506775067750677,0.4164277120724666
NanoMGT,ecoli,0.01,6,0.3123968947853402,0.8590785907859079,0.4555816154853916
NanoMGT,ecoli,0.01,7,0.3197220303558177,0.8644986449864499,0.46382640632412225
NanoMGT,ecoli,0.01,8,0.3473777587096161,0.9105691056910569,0.5000669087583628
NanoMGT,ecoli,0.01,9,0.3417699934106153,0.940379403794038,0.4977555860514323
NanoMGT,ecoli,0.01,10,0.3383025824527515,0.948509485094851,0.49604617763953174
NanoMGT,ecoli,0.02,1,0.050516315774230665,0.070460704607046,0.05745285528517371
NanoMGT,ecoli,0.02,2,0.14064063329600046,0.2249322493224932,0.16698140895020763
NanoMGT,ecoli,0.02,3,0.2958133067551907,0.44173441734417346,0.3373391769530432
NanoMGT,ecoli,0.02,4,0.38495559146386976,0.6205962059620597,0.45751575589109467
NanoMGT,ecoli,0.02,5,0.4255050158429625,0.7127371273712737,0.5190134913423681
NanoMGT,ecoli,0.02,6,0.45837623147723966,0.7967479674796749,0.5694191710185378
NanoMGT,ecoli,0.02,7,0.48843480831991953,0.8401084010840109,0.6053181884946318
NanoMGT,ecoli,0.02,8,0.4960329926563105,0.8861788617886178,0.625381606772768
NanoMGT,ecoli,0.02,9,0.5001640665061182,0.9132791327913278,0.6358805777666168
NanoMGT,ecoli,0.02,10,0.5082155549532301,0.951219512195122,0.6539113514920788
NanoMGT,ecoli,0.03,1,0.047170194146938266,0.056910569105691006,0.04999072584029063
NanoMGT,ecoli,0.03,2,0.13220475125657782,0.19241192411924113,0.1519159679555798
NanoMGT,ecoli,0.03,3,0.29239544521153904,0.3848238482384823,0.30764424550777525
NanoMGT,ecoli,0.03,4,0.4325633868177216,0.6124661246612466,0.4829883262665633
